,player_id,@id,url,username,score,rank,country,title,name,status,avatar,flair_code,win_count,loss_count,draw_count,trend_score.direction,trend_score.delta,trend_rank.direction,trend_rank.delta
22,8601664,https://api.chess.com/pub/player/owl1867,https://www.chess.com/member/owl1867,owl1867,2382,23,https://api.chess.com/pub/country/XS,,Mark Cooke,basic,https://www.chess.com/bundles/web/images/noavatar_l.84a92436.gif,nothing,349,103,91,0,0,0,0
23,6143420,https://api.chess.com/pub/player/hamstergang,https://www.chess.com/member/hamstergang,hamstergang,2375,24,https://api.chess.com/pub/country/US,,Jason,basic,https://www.chess.com/bundles/web/images/noavatar_l.84a92436.gif,nothing,55,25,10,0,0,1,1
24,97923594,https://api.chess.com/pub/player/kiekeboef,https://www.chess.com/member/Kiekeboef,Kiekeboef,2374,25,https://api.chess.com/pub/country/ZA,,,basic,https://www.chess.com/bundles/web/images/noavatar_l.84a92436.gif,nothing,59,5,4,0,0,1,1
25,20484124,https://api.chess.com/pub/player/slimfast023,https://www.chess.com/member/Slimfast023,Slimfast023,2373,26,https://api.chess.com/pub/country/US,,,basic,https://www.chess.com/bundles/web/images/noavatar_l.84a92436.gif,nothing,101,46,17,0,0,1,1
26,12859716,https://api.chess.com/pub/player/suit0flights,https://www.chess.com/member/suit0flights,suit0flights,2373,27,https://api.chess.com/pub/country/XB,,,basic,https://www.chess.com/bundles/web/images/noavatar_l.84a92436.gif,nothing,183,35,25,-1,15,-1,6
27,4147249,https://api.chess.com/pub/player/mizant,https://www.chess.com/member/mizant,mizant,2368,28,https://api.chess.com/pub/country/RS,FM,Aleksandar Randjelovic,premium,https://images.chesscomfiles.com/uploads/v1/user/4147249.60f22b59.200x200o.90a6f8cb277a.jpg,diamond_traditional,252,1,6,0,0,0,0
28,23232764,https://api.chess.com/pub/player/kawhi_leonard2,https://www.chess.com/member/Kawhi_Leonard2,Kawhi_Leonard2,2368,29,https://api.chess.com/pub/country/CA,FM,,premium,https://images.chesscomfiles.com/uploads/v1/user/23232764.44a3e90d.200x200o.dd378d657789.jpg,diamond_traditional,457,6,42,0,0,0,0
29,148796673,https://api.chess.com/pub/player/yoadrian76,https://www.chess.com/member/YoAdrian76,YoAdrian76,2367,30,https://api.chess.com/pub/country/AU,,,premium,https://www.chess.com/bundles/web/images/noavatar_l.84a92436.gif,clover,44,9,3,0,0,0,0
30,64443566,https://api.chess.com/pub/player/imuffevinther-schou,https://www.chess.com/member/IMUffeVinther-Schou,IMUffeVinther-Schou,2366,31,https://api.chess.com/pub/country/DK,IM,Uffe Vinther-Schou,premium,https://www.chess.com/bundles/web/images/noavatar_l.84a92436.gif,diamond_traditional,255,22,40,0,0,0,0
31,132635604,https://api.chess.com/pub/player/zg2021,https://www.chess.com/member/zg2021,zg2021,2366,32,https://api.chess.com/pub/country/IL,,,basic,https://www.chess.com/bundles/web/images/noavatar_l.84a92436.gif,nothing,39,2,9,0,0,0,0
