,player_id,@id,url,username,score,rank,country,status,avatar,flair_code,win_count,loss_count,draw_count,trend_score.direction,trend_score.delta,trend_rank.direction,trend_rank.delta,name,title
0,95885508,https://api.chess.com/pub/player/authom,https://www.chess.com/member/Authom,Authom,65540,1,https://api.chess.com/pub/country/FI,basic,https://images.chesscomfiles.com/uploads/v1/user/95885508.b06b1fa6.200x200o.4539b3603f69.jpeg,nothing,0,0,0,0,0,0,0,,
1,93736436,https://api.chess.com/pub/player/natalia_lubicka777,https://www.chess.com/member/Natalia_Lubicka777,Natalia_Lubicka777,65540,2,https://api.chess.com/pub/country/PL,premium,https://images.chesscomfiles.com/uploads/v1/user/93736436.abc722f3.200x200o.0fca2b0e312c.jpeg,nothing,0,0,0,0,0,0,0,Natalia Lubicka,
2,45047062,https://api.chess.com/pub/player/sezjan,https://www.chess.com/member/sezjan,sezjan,65540,3,https://api.chess.com/pub/country/NL,premium,https://images.chesscomfiles.com/uploads/v1/user/45047062.89f83e14.200x200o.5f78c4a22fff.jpeg,star_traditional,0,0,0,0,0,0,0,H. Sezin,
3,34162926,https://api.chess.com/pub/player/alyurfed,https://www.chess.com/member/ALYURFED,ALYURFED,65540,4,https://api.chess.com/pub/country/RU,basic,https://www.chess.com/bundles/web/images/noavatar_l.84a92436.gif,nothing,0,0,0,0,0,0,0,,
4,246784313,https://api.chess.com/pub/player/ncurses,https://www.chess.com/member/ncurses,ncurses,65540,5,https://api.chess.com/pub/country/SE,basic,https://images.chesscomfiles.com/uploads/v1/user/246784313.fd96992f.200x200o.18cd18d9051f.jpg,nothing,0,0,0,0,0,0,0,Jonas Bergström,
5,204388005,https://api.chess.com/pub/player/genaries,https://www.chess.com/member/GenAries,GenAries,65540,6,https://api.chess.com/pub/country/CZ,premium,https://www.chess.com/bundles/web/images/noavatar_l.84a92436.gif,crown_gold,0,0,0,0,0,0,0,,
6,203575935,https://api.chess.com/pub/player/therrapy,https://www.chess.com/member/Therrapy,Therrapy,65540,7,https://api.chess.com/pub/country/TR,premium,https://www.chess.com/bundles/web/images/noavatar_l.84a92436.gif,star_traditional,0,0,0,0,0,0,0,,
7,166591551,https://api.chess.com/pub/player/nnikic,https://www.chess.com/member/NNikic,NNikic,65540,8,https://api.chess.com/pub/country/ME,premium,https://images.chesscomfiles.com/uploads/v1/user/166591551.51a853c7.200x200o.00cf739d2fbe.jpg,nothing,0,0,0,1,290,1,3,,
8,140917433,https://api.chess.com/pub/player/josephreidnz,https://www.chess.com/member/JosephReidNZ,JosephReidNZ,65540,9,https://api.chess.com/pub/country/NZ,premium,https://images.chesscomfiles.com/uploads/v1/user/140917433.250533fa.200x200o.6365b1c75ef1.jpg,rush,0,0,0,0,0,-1,1,Joseph Reid,
9,121804476,https://api.chess.com/pub/player/ariesgen,https://www.chess.com/member/AriesGen,AriesGen,65540,10,https://api.chess.com/pub/country/CZ,premium,https://www.chess.com/bundles/web/images/noavatar_l.84a92436.gif,crown_traditional,0,0,0,0,0,-1,1,,
10,117047044,https://api.chess.com/pub/player/fedalyur,https://www.chess.com/member/FEDALYUR,FEDALYUR,65540,11,https://api.chess.com/pub/country/RU,premium,https://www.chess.com/bundles/web/images/noavatar_l.84a92436.gif,star_traditional,0,0,0,0,0,-1,1,,
11,282746283,https://api.chess.com/pub/player/montoyanor,https://www.chess.com/member/montoyanoR,montoyanoR,64905,12,https://api.chess.com/pub/country/CL,basic,https://www.chess.com/bundles/web/images/noavatar_l.84a92436.gif,nothing,0,0,0,0,0,0,0,,
12,2432153,https://api.chess.com/pub/player/shant_t,https://www.chess.com/member/shant_t,shant_t,64903,13,https://api.chess.com/pub/country/AM,premium,https://images.chesscomfiles.com/uploads/v1/user/2432153.a23ec176.200x200o.3a23ce34de04.jpeg,star_traditional,0,0,0,0,0,0,0,Shant Tokatyan,
13,5388899,https://api.chess.com/pub/player/sajaz75,https://www.chess.com/member/Sajaz75,Sajaz75,62244,14,https://api.chess.com/pub/country/PS,premium,https://images.chesscomfiles.com/uploads/v1/user/5388899.1eefebda.200x200o.7e2931ccdbe0.jpg,coffee_cup,0,0,0,1,115,0,0,,
14,140629673,https://api.chess.com/pub/player/i8531,https://www.chess.com/member/I8531,I8531,54648,15,https://api.chess.com/pub/country/US,premium,https://www.chess.com/bundles/web/images/noavatar_l.84a92436.gif,diamond_traditional,0,0,0,1,383,0,0,,
15,151895817,https://api.chess.com/pub/player/realantec,https://www.chess.com/member/realANTEC,realANTEC,47864,16,https://api.chess.com/pub/country/IN,premium,https://images.chesscomfiles.com/uploads/v1/user/151895817.b5037db9.200x200o.7f0c05683cf4.png,nothing,0,0,0,0,0,0,0,ANTEC,
16,45084226,https://api.chess.com/pub/player/el008,https://www.chess.com/member/el008,el008,47580,17,https://api.chess.com/pub/country/US,premium,https://images.chesscomfiles.com/uploads/v1/user/45084226.3288b682.200x200o.ce4ddc74445a.png,rush,0,0,0,0,0,0,0,Eric Liu,NM
17,209721787,https://api.chess.com/pub/player/blagoje_srbija,https://www.chess.com/member/Blagoje_Srbija,Blagoje_Srbija,40369,18,https://api.chess.com/pub/country/RS,basic,https://images.chesscomfiles.com/uploads/v1/user/209721787.5476cabe.200x200o.d8a42ffdb1ee.png,nothing,0,0,0,0,0,0,0,,
18,172981425,https://api.chess.com/pub/player/fgly,https://www.chess.com/member/fgly,fgly,37499,19,https://api.chess.com/pub/country/BT,premium,https://www.chess.com/bundles/web/images/noavatar_l.84a92436.gif,diamond_rainbow,0,0,0,0,0,0,0,,
19,5569194,https://api.chess.com/pub/player/danikl,https://www.chess.com/member/danikl,danikl,30442,20,https://api.chess.com/pub/country/IL,basic,https://images.chesscomfiles.com/uploads/v1/user/5569194.14aa0131.200x200o.7e4f9520e04b.jpeg,nothing,0,0,0,1,25,0,0,Daniel Levin,
